agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
SARSA,0,0,-87.09999999999904,-0.094468546637743,922.0,922.0
SARSA,0,1,-132.2999999999995,-0.08986083499006052,1425.0,503.0
SARSA,0,2,-139.09999999999948,-0.057142857142856926,1544.0,119.0
SARSA,0,3,-148.59999999999945,-0.06506849315068469,1690.0,146.0
SARSA,0,4,-146.29999999999944,0.0821428571428571,1718.0,28.0
SARSA,0,5,-143.99999999999943,0.0821428571428571,1746.0,28.0
SARSA,0,6,-141.29999999999944,0.11249999999999998,1770.0,24.0
SARSA,0,7,-138.99999999999943,0.0821428571428571,1798.0,28.0
SARSA,0,8,-136.29999999999944,0.11249999999999998,1822.0,24.0
SARSA,0,9,-133.39999999999944,0.1318181818181818,1844.0,22.0
SARSA,0,10,-130.89999999999944,0.09615384615384612,1870.0,26.0
SARSA,0,11,-128.09999999999943,0.12173913043478259,1893.0,23.0
SARSA,0,12,-125.39999999999942,0.11249999999999998,1917.0,24.0
SARSA,0,13,-122.69999999999942,0.11249999999999998,1941.0,24.0
SARSA,0,14,-120.09999999999943,0.10399999999999997,1966.0,25.0
SARSA,0,15,-117.79999999999943,0.0821428571428571,1994.0,28.0
SARSA,0,16,-114.89999999999942,0.1318181818181818,2016.0,22.0
SARSA,0,17,-112.59999999999943,0.0821428571428571,2044.0,28.0
SARSA,0,18,-109.69999999999942,0.1318181818181818,2066.0,22.0
SARSA,0,19,-106.79999999999941,0.1318181818181818,2088.0,22.0
SARSA,0,20,-104.09999999999941,0.11249999999999998,2112.0,24.0
SARSA,0,21,-101.1999999999994,0.1318181818181818,2134.0,22.0
SARSA,0,22,-98.6999999999994,0.09615384615384612,2160.0,26.0
SARSA,0,23,-96.2999999999994,0.08888888888888885,2187.0,27.0
SARSA,0,24,-93.4999999999994,0.12173913043478259,2210.0,23.0
SARSA,0,25,-90.89999999999941,0.10399999999999997,2235.0,25.0
SARSA,0,26,-88.29999999999941,0.10399999999999997,2260.0,25.0
SARSA,0,27,-85.69999999999942,0.10399999999999997,2285.0,25.0
SARSA,0,28,-83.39999999999942,0.0821428571428571,2313.0,28.0
SARSA,0,29,-80.69999999999942,0.11249999999999998,2337.0,24.0
SARSA,0,30,-77.99999999999942,0.11249999999999998,2361.0,24.0
SARSA,0,31,-75.09999999999941,0.1318181818181818,2383.0,22.0
SARSA,0,32,-72.89999999999941,0.0758620689655172,2412.0,29.0
SARSA,0,33,-70.29999999999941,0.10399999999999997,2437.0,25.0
SARSA,0,34,-67.59999999999941,0.11249999999999998,2461.0,24.0
SARSA,0,35,-64.99999999999942,0.10399999999999997,2486.0,25.0
SARSA,0,36,-62.19999999999942,0.12173913043478259,2509.0,23.0
SARSA,0,37,-59.49999999999942,0.11249999999999998,2533.0,24.0
SARSA,0,38,-56.799999999999415,0.11249999999999998,2557.0,24.0
SARSA,0,39,-54.299999999999415,0.09615384615384612,2583.0,26.0
SARSA,0,40,-51.799999999999415,0.09615384615384612,2609.0,26.0
SARSA,0,41,-49.09999999999941,0.11249999999999998,2633.0,24.0
SARSA,0,42,-46.59999999999941,0.09615384615384612,2659.0,26.0
SARSA,0,43,-43.89999999999941,0.11249999999999998,2683.0,24.0
SARSA,0,44,-41.199999999999406,0.11249999999999998,2707.0,24.0
SARSA,0,45,-38.29999999999941,0.1318181818181818,2729.0,22.0
SARSA,0,46,-36.199999999999406,0.06999999999999997,2759.0,30.0
SARSA,0,47,-33.699999999999406,0.09615384615384612,2785.0,26.0
SARSA,0,48,-30.899999999999405,0.12173913043478259,2808.0,23.0
SARSA,0,49,-28.999999999999407,0.059374999999999956,2840.0,32.0
SARSA,0,50,-26.699999999999406,0.0821428571428571,2868.0,28.0
SARSA,0,51,-23.999999999999407,0.11249999999999998,2892.0,24.0
SARSA,0,52,-21.199999999999406,0.12173913043478259,2915.0,23.0
SARSA,0,53,-18.89999999999941,0.0821428571428571,2943.0,28.0
SARSA,0,54,-16.19999999999941,0.11249999999999998,2967.0,24.0
SARSA,0,55,-13.299999999999411,0.1318181818181818,2989.0,22.0
SARSA,0,56,-10.899999999999412,0.08888888888888885,3016.0,27.0
SARSA,0,57,-8.099999999999413,0.12173913043478259,3039.0,23.0
SARSA,0,58,-5.399999999999414,0.11249999999999998,3063.0,24.0
SARSA,0,59,-2.699999999999415,0.11249999999999998,3087.0,24.0
SARSA,0,60,-0.29999999999941585,0.08888888888888885,3114.0,27.0
SARSA,0,61,2.6000000000005836,0.1318181818181818,3136.0,22.0
SARSA,0,62,4.700000000000582,0.06999999999999997,3166.0,30.0
SARSA,0,63,7.600000000000581,0.1318181818181818,3188.0,22.0
SARSA,0,64,10.10000000000058,0.09615384615384612,3214.0,26.0
SARSA,0,65,12.80000000000058,0.11249999999999998,3238.0,24.0
SARSA,0,66,15.500000000000579,0.11249999999999998,3262.0,24.0
SARSA,0,67,18.20000000000058,0.11249999999999998,3286.0,24.0
SARSA,0,68,20.70000000000058,0.09615384615384612,3312.0,26.0
SARSA,0,69,23.50000000000058,0.12173913043478259,3335.0,23.0
SARSA,0,70,26.400000000000578,0.1318181818181818,3357.0,22.0
SARSA,0,71,29.300000000000576,0.1318181818181818,3379.0,22.0
SARSA,0,72,31.700000000000575,0.08888888888888885,3406.0,27.0
SARSA,0,73,34.400000000000574,0.11249999999999998,3430.0,24.0
SARSA,0,74,37.30000000000057,0.1318181818181818,3452.0,22.0
SARSA,0,75,40.20000000000057,0.1318181818181818,3474.0,22.0
SARSA,0,76,42.70000000000057,0.09615384615384612,3500.0,26.0
SARSA,0,77,45.20000000000057,0.09615384615384612,3526.0,26.0
SARSA,0,78,47.70000000000057,0.09615384615384612,3552.0,26.0
SARSA,0,79,50.20000000000057,0.09615384615384612,3578.0,26.0
SARSA,0,80,52.900000000000574,0.11249999999999998,3602.0,24.0
SARSA,0,81,55.60000000000058,0.11249999999999998,3626.0,24.0
SARSA,0,82,58.500000000000576,0.1318181818181818,3648.0,22.0
SARSA,0,83,61.20000000000057,0.11249999999999998,3672.0,24.0
